Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,MA30_,STD30_,Upper_Band_,Lower_Band_
2025-12-17,271.33587646484375,275.6478724530811,271.13626563598973,274.50001118897205,50138700,274.33155314127606,5.229637684005808,284.7908285092877,263.87227777326444
2025-12-18,271.68524169921875,273.12257373871984,266.4549687260805,273.1025913325419,51630700,274.40846354166666,5.170911083295676,284.750285708258,264.06664137507533
2025-12-19,273.1625061035156,274.09077415448866,269.399477884542,271.6453053723066,144632000,274.5469156901042,5.076089401913232,284.69909449393066,264.3947368862777
2025-12-22,270.4674987792969,273.37210596231955,270.00836035897595,272.3539780142796,36571800,274.6387451171875,4.972041956102587,284.5828290293927,264.6946612049823
2025-12-23,271.85491943359375,271.99467443806464,269.06012395403746,270.3377490962612,29642000,274.73623046875,4.884153635964468,284.504537740679,264.96792319682106
2025-12-24,273.3022155761719,274.9192064044749,271.69521595033444,271.8349404799371,17910600,274.6883188883464,4.891164685612806,284.470648259572,264.90598951712076
2025-12-26,272.8929748535156,274.859322715931,272.35396775197984,273.65157518449314,21521800,274.6859893798828,4.892031370159911,284.47005212020264,264.901926639563
2025-12-29,273.2523498535156,273.8512128461511,271.8449608988494,272.1843267483383,23715200,274.712939453125,4.8814691487703525,284.4758777506657,264.9500011555843
2025-12-30,272.5735778808594,273.5717234473003,271.77507361210075,272.304089543875,22139600,274.7352315266927,4.8697160263528705,284.47466357939845,264.99579947398695
2025-12-31,271.3558349609375,273.17246717497864,271.24605357156486,272.553621806917,27293600,274.8816263834635,4.690765183761792,284.2631567509871,265.50009601593996
2026-01-02,270.5074157714844,277.32473598417806,268.5011336129586,271.75509761912826,37838100,275.0004048665365,4.5250284476926215,284.0504617619217,265.95034797115125
2026-01-05,266.7643737792969,271.0064921177503,265.6464557026853,270.1381104139889,45647200,274.9571523030599,4.599229805140017,284.15561191333995,265.75869269277985
2026-01-06,261.8734436035156,267.0538212812338,261.6338984265986,266.504853430471,52352100,274.8277252197266,4.911137695908031,284.6500006115426,265.0054498279105
2026-01-07,259.8471984863281,263.1909919246956,259.32817380451803,262.71190159101934,48309800,274.4564147949219,5.5862640773925625,285.62894294970704,263.28388664013676
2026-01-08,258.55963134765625,258.80916773471864,255.22581364132833,256.5433578451618,50419300,273.89479166666666,6.289901644814543,286.47459495629573,261.3149883770376
2026-01-09,258.8890075683594,259.7274461787287,255.74485516422806,258.5995368285105,39997000,273.30921223958336,6.837139169856357,286.9834905792961,259.63493389987065
2026-01-12,259.76739501953125,260.8154357257053,256.32378048041085,258.6794199598783,45263800,272.7336161295573,7.228310260736435,287.19023665103015,258.2769956080844
2026-01-13,260.5658874511719,261.3244878277737,257.9108470550362,258.24022168851656,45730800,272.1413828531901,7.4772879117141695,287.09595867661847,257.1868070297618
2026-01-14,259.4779052734375,261.33447181199796,256.23393227813756,259.0087756526009,40019400,271.37147928873696,7.554641639845564,286.4807625684281,256.26219600904585
2026-01-15,257.73114013671875,260.5559089501236,256.5732877053955,260.1666175851947,39388600,270.44054158528644,7.453358886388286,285.347259358063,255.53382381250987
2026-01-16,255.05613708496094,258.41988279267105,254.45724364888233,257.4217372195352,72142800,269.4883112589518,7.535487033831769,284.55928532661534,254.41733719128825
2026-01-20,246.2425079345703,254.31750190322293,242.9685916985444,252.26132447540706,80267500,268.357080078125,8.375662459331979,285.108404996789,251.60575515946107
2026-01-21,247.1907501220703,251.09350304772093,244.72532928784554,248.23880604127606,54641700,267.3213383992513,9.005943185633246,285.3332247705178,249.30945202798483
2026-01-22,247.8894500732422,250.53452965267718,247.68980878155546,248.737864640942,39708300,266.3384979248047,9.46800970854277,285.27451734189026,247.40247850771917
2026-01-23,247.58001708984375,248.94748685874615,244.22624741136653,246.86136630134166,41689000,265.3689666748047,9.855293596137988,285.0795538670807,245.65837948252874
2026-01-26,254.9363555908203,256.08421686766076,249.336758511775,251.01363570547153,55969200,264.5914118448893,9.722216053535579,284.0358439519605,245.14697973781816
2026-01-27,257.791015625,261.46421404872183,257.73112933459527,258.68937090303496,49648300,263.93396555582683,9.482102289268655,282.89817013436414,244.96976097728952
2026-01-28,255.96446228027344,258.3799575946877,254.03803333601454,257.17220993748055,41288000,263.2073160807292,9.217303210463742,281.64192250165667,244.7727096598017
2026-01-29,257.801025390625,259.16847988830324,253.93820707645818,257.52154586161765,67253000,262.6806284586589,9.052843708961253,280.7863158765814,244.57494104073638
2026-01-30,258.9988098144531,261.41430490835,251.7123292610244,254.69678984095313,92443400,262.17723083496094,8.812608516159864,279.80244786728065,244.5520138026412
2026-02-02,269.5093078613281,269.98839826257677,258.7293169184304,259.5478036352127,73913400,262.11634521484376,8.75326017864872,279.6228655721412,244.60982485754633
